year,event,player,team,region,role,rating,agents,rounds
2021,Masters 2,TenZ,SEN,Americas,Duelist,1.35,"reyna,jett,raze",201
2021,Masters 2,ScreaM,TL,EMEA,Flex,1.22,"sage,phoenix",193
2021,Masters 2,ShahZaM,SEN,Americas,Flex,1.19,"jett,sova",201
2021,Masters 2,Lakia,NU,China,Flex,1.15,"sova,raze",222
2021,Masters 2,Sacy,VKS,Americas,Initiator,1.15,sova,128
2021,Masters 2,L1NK,TL,EMEA,Controller,1.14,"brimstone,omen",193
2021,Masters 2,Klaus,KRÜ,Americas,Flex,1.14,"killjoy,skye",109
2021,Masters 2,Patiphan,X10,Pacific,Flex,1.12,"sage,jett,viper",129
2021,Masters 2,SicK,SEN,Americas,Duelist,1.11,"sova,phoenix,raze",201
2021,Masters 2,Mistic,FNC,EMEA,Flex,1.11,"viper,skye",355
2021,Masters 2,Zellsis,V1,Americas,Flex,1.09,"killjoy,phoenix",233
2021,Masters 2,Jamppi,TL,EMEA,Flex,1.07,"jett,killjoy",193
2021,Masters 2,effys,V1,Americas,Flex,1.06,"sage,sova",233
2021,Masters 2,Derke,FNC,EMEA,Flex,1.06,"jett,sova",355
2021,Masters 2,foxz,X10,Pacific,Flex,1.04,"sova,jett",129
2021,Masters 2,MAGNUM,FNC,EMEA,Sentinel,1.04,"killjoy,cypher,skye",355
2021,Masters 2,penny,V1,Americas,Duelist,1.03,jett,233
2021,Masters 2,dapr,SEN,Americas,Sentinel,1.03,"sage,cypher,viper",201
2021,Masters 2,gaabxx,SHK,China,Flex,1.02,"sage,viper,raze",91
2021,Masters 2,neth,CR,Pacific,Sentinel,1.02,killjoy,87
2021,Masters 2,doma,FNC,EMEA,Flex,1.01,"sage,omen,raze",355
2021,Masters 2,Mazino,KRÜ,Americas,Flex,1.00,"viper,sage",109
2021,Masters 2,peri,NU,China,Controller,1.00,"astra,omen",222
2021,Masters 2,soulcas,TL,EMEA,Initiator,0.98,"skye,sova",193
2021,Masters 2,sScary,X10,Pacific,Controller,0.94,"astra,viper",129
2021,Masters 2,Munchkin,CR,Pacific,Duelist,0.93,"phoenix,sage,raze",87
2021,Masters 2,Boaster,FNC,EMEA,Initiator,0.93,"sova,astra,skye",355
2021,Masters 2,prozin,SHK,China,Duelist,0.92,"raze,phoenix",91
2021,Masters 2,Kryptix,TL,EMEA,Flex,0.91,"viper,killjoy",193
2021,Masters 2,saadhak,VKS,Americas,Sentinel,0.90,"killjoy,cypher",128
2021,Masters 2,Sushiboys,X10,Pacific,Sentinel,0.89,"killjoy,cypher",129
2021,Masters 2,zepher,CR,Pacific,Duelist,0.88,jett,87
2021,Masters 2,zombs,SEN,Americas,Controller,0.88,"viper,astra",201
2021,Masters 2,vanity,V1,Americas,Controller,0.88,"astra,omen",233
2021,Masters 2,bnj,KRÜ,Americas,Initiator,0.87,"sova,raze,skye",109
2021,Masters 2,allow,NU,China,Duelist,0.87,jett,222
2021,Masters 2,Crws,X10,Pacific,Initiator,0.87,"skye,breach",129
2021,Masters 2,jammyz,V1,Americas,Flex,0.86,"viper,killjoy",233
2021,Masters 2,Suggest,NU,China,Initiator,0.85,"raze,skye,breach",222
2021,Masters 2,delz1k,KRÜ,Americas,Controller,0.85,"sage,brimstone,omen",109
2021,Masters 2,Medusa,CR,Pacific,Initiator,0.83,sova,87
2021,Masters 2,sutecas,VKS,Americas,Controller,0.81,"omen,astra",128
2021,Masters 2,solo,NU,China,Sentinel,0.80,"breach,killjoy,cypher",222
2021,Masters 2,NagZ,KRÜ,Americas,Flex,0.78,"jett,sage",109
2021,Masters 2,deNaro,SHK,China,Initiator,0.77,sova,91
2021,Masters 2,gtn,VKS,Americas,Duelist,0.76,"raze,yoru",128
2021,Masters 2,light,SHK,China,Controller,0.69,"omen,brimstone",91
2021,Masters 2,frz,VKS,Americas,Duelist,0.69,"phoenix,jett",128
2021,Masters 2,rion,CR,Pacific,Controller,0.68,"astra,viper,omen",87
2021,Masters 2,fra,SHK,China,Sentinel,0.60,"killjoy,skye,sage",91
